Time,Time Code,Category,Economy Name,Economy Code,Labor tax and contributions, Profit tax,Paying taxes Score,Getting electricity Score,Enforcing contracts Score
2018,YR2018,Economies,Brazil,BRA,39.4,22.4,0,82.46,49.92
2018,YR2018,Economies,"Korea, Rep.",KOR,13.5,18.2,78.52,99.89,86.07
2018,YR2018,Economies,China,CHN,48.1,11,75.58,65.71,69.16
2018,YR2018,Economies,Chile,CHL,5.1,25.2,62.6,85.67,70.49
2018,YR2018,Economies,United States,USA,9.8,27.9,80.53,82.14,75.41
2018,YR2018,Economies,Mexico,MEX,25.6,25.5,70.4,70.99,81.91
